,Budget_Year-Month,Finance_Minister,Sentance,Polarity,sentiment,Sector,Topic
25,2010-2011 Month-02,Pranab Mukherjee,the thrust impart the develop infrastructur rural area has pursu achiev the desir object within fix time frame,0.0,Neutral,Others,servic
27,2010-2011 Month-02,Pranab Mukherjee,have strengthen food secur improv educ opportun and provid health facil the level household both rural and urban area,0.3182,Positive,Others,bank
28,2010-2011 Month-02,Pranab Mukherjee,these are issu that requir signif resourc and have find those resourc,0.0,Neutral,Others,growth
30,2010-2011 Month-02,Pranab Mukherjee,the third challeng relat the weak system structur and institut differ level,-0.4404,Negative,Others,tax
31,2010-2011 Month-02,Pranab Mukherjee,ind the come there one factor that can hold back reali our potenti modern the bottleneck our public deliveri mechan,0.0,Neutral,Others,bank
32,2010-2011 Month-02,Pranab Mukherjee,there have been mani initi this regard differ differ point time,0.0,Neutral,Others,servic
33,2010-2011 Month-02,Pranab Mukherjee,some them have been effect reform the way the work those area,0.0,Neutral,Others,tax
34,2010-2011 Month-02,Pranab Mukherjee,but have long way befor can rest this count,0.0,Neutral,Others,growth
36,2010-2011 Month-02,Pranab Mukherjee,the union can not mere statement account,0.0,Neutral,Others,hous
37,2010-2011 Month-02,Pranab Mukherjee,has reflect the vision and signal the polici come futur,0.25,Positive,Others,set
39,2010-2011 Month-02,Pranab Mukherjee,with develop and econom reform the focus econom activ has shift toward the nongovern actor bring into sharper focus the role enabl,0.0,Neutral,Others,growth
41,2010-2011 Month-02,Pranab Mukherjee,enabl doe not tri deliv direct the citizen everyth that they need,0.0,Neutral,Others,provid
42,2010-2011 Month-02,Pranab Mukherjee,instead creat enabl etho that individu enterpri and creativ can flourish,0.0,Neutral,Others,growth
43,2010-2011 Month-02,Pranab Mukherjee,concentr support and deliv servic the disadvantag section the societi,0.4019,Positive,Others,growth
45,2010-2011 Month-02,Pranab Mukherjee,this broad conceptuali the that inform speech today,0.0,Neutral,Others,growth
46,2010-2011 Month-02,Pranab Mukherjee,would now begin present brief overview the economi,0.0,Neutral,Others,growth
47,2010-2011 Month-02,Pranab Mukherjee,overview the economi,0.0,Neutral,Others,agricultur
48,2010-2011 Month-02,Pranab Mukherjee,yesterday laid the tabl the hous the econom survey which give detail analysi the econom situat the countri over the past twelv month,0.0,Neutral,Others,growth
49,2010-2011 Month-02,Pranab Mukherjee,intend highlight few salient featur that form the backdrop this,0.5423,Positive,Others,growth
51,2010-2011 Month-02,Pranab Mukherjee,the 200910 was challeng for the indian economi,0.0,Neutral,Others,growth
52,2010-2011 Month-02,Pranab Mukherjee,the signif decel the second half 200809 brought the real gdp growth down per from averag over per the prece three,0.3818,Positive,Agriculture,invest
53,2010-2011 Month-02,Pranab Mukherjee,were among the first few countri the world implement broadba countercycl polici packag respond the negat fallout the global slowdown,0.0,Neutral,Others,growth
54,2010-2011 Month-02,Pranab Mukherjee,includ substanti expan along with liber monetari polici support,0.4019,Positive,Others,growth
56,2010-2011 Month-02,Pranab Mukherjee,the effect these polici measur becam evid with fast pace recoveri,0.0,Neutral,Others,provid
57,2010-2011 Month-02,Pranab Mukherjee,the economi stabili the first quarter 200910 itself when clock gdp growth per against per the fourth quarter the prece,0.3818,Positive,Agriculture,set
58,2010-2011 Month-02,Pranab Mukherjee,regist strong rebound the second quarter when the growth rose per,0.7096,Positive,Agriculture,agricultur
59,2010-2011 Month-02,Pranab Mukherjee,with the advanc place the like growth for 200910 per are ind vindic our polici stand,0.6249,Positive,Agriculture,growth
60,2010-2011 Month-02,Pranab Mukherjee,the final figur may well turn out higher when the third and fourth quarter gdp for 200910 becom avail,0.2732,Positive,Others,provid
62,2010-2011 Month-02,Pranab Mukherjee,this recoveri veri encourag for has come about despit negat growth the agricultur,0.3818,Positive,Agriculture,growth
63,2010-2011 Month-02,Pranab Mukherjee,more import the result renew momentum the manufactur and mark the rise this the growth driver the economi,0.3818,Positive,Agriculture,provid
64,2010-2011 Month-02,Pranab Mukherjee,the growth manufactur decemb 2009 was 185 per centâ the highest the past two decad,0.3818,Positive,Agriculture,growth
65,2010-2011 Month-02,Pranab Mukherjee,there are also sign turnaround the merchandi export with posit growth novemb and decemb 2009 after declin about twelv success month,0.743,Positive,Agriculture,growth
66,2010-2011 Month-02,Pranab Mukherjee,export figur for januari are also encourag,0.0,Neutral,Others,growth
67,2010-2011 Month-02,Pranab Mukherjee,signif privat invest can now expect provid the engin for sustain growth per per annum,0.3818,Positive,Agriculture,growth
68,2010-2011 Month-02,Pranab Mukherjee,with some luck hope breach the per mark nottoodist futur,0.7096,Positive,Others,growth
70,2010-2011 Month-02,Pranab Mukherjee,major concern dure the second half 200910 has been the emerg doubl digit food inflat,0.0,Neutral,Others,growth
71,2010-2011 Month-02,Pranab Mukherjee,there was momentum food price sinc the flareup global commod price prece the crisi 2008 but was expect that the agricultur season begin june 2009 would help moder the food inflat,0.5499,Positive,Others,custom
72,2010-2011 Month-02,Pranab Mukherjee,howev the errat monsoon and drought like condit larg part the countri reinforc the suppli side bottleneck some the essenti commod,0.3612,Positive,Others,provid
73,2010-2011 Month-02,Pranab Mukherjee,this set motion inflationari expect,0.0,Neutral,Others,provid
74,2010-2011 Month-02,Pranab Mukherjee,sinc decemb 2009 there have been indic these high food price togeth with the gradual harden the fuel product price get transmit other nonfood item well,0.2732,Positive,Agriculture,bank
75,2010-2011 Month-02,Pranab Mukherjee,the inflat data for januari seem have confirm this trend,0.0,Neutral,Others,bank
77,2010-2011 Month-02,Pranab Mukherjee,acut conscious this situat and has set motion step consult with the state chief minist which should bring down the inflat the next few month and ensur that there better manag food secur the countri,0.4404,Positive,Others,tax
78,2010-2011 Month-02,Pranab Mukherjee,consolid growth,0.3818,Positive,Agriculture,tax
79,2010-2011 Month-02,Pranab Mukherjee,manag complex economi difficult task more when grow economi globali world,-0.3612,Negative,Agriculture,tax
80,2010-2011 Month-02,Pranab Mukherjee,and yet choic have made and they have welltim,0.0,Neutral,Others,tax
82,2010-2011 Month-02,Pranab Mukherjee,after success manag the effect the global slowdown need strengthen the domest macroeconom environ help consolid the rebound growth and sustain over the medium term,0.8834,Positive,Agriculture,bank
83,2010-2011 Month-02,Pranab Mukherjee,need review the stimulus impart the economi and move toward the prefer path consolid that facilit the remark growth the precrisi five period,0.3818,Positive,Agriculture,provid
84,2010-2011 Month-02,Pranab Mukherjee,need make growth more broadba and ensur that supplydemand imbal are better manag,0.6705,Positive,Agriculture,provid
85,2010-2011 Month-02,Pranab Mukherjee,consolid,0.0,Neutral,Others,scheme
86,2010-2011 Month-02,Pranab Mukherjee,the success the stimulus support domest demand could trace composit,0.7096,Positive,Others,provid
87,2010-2011 Month-02,Pranab Mukherjee,the approach the was increa the dispo incom the hand the peopl effect reduct indirect tax and expand public expenditur programm like the mahatma gandhi rural employ guarant scheme and rural infrastructur,0.7906,Positive,Others,bank
88,2010-2011 Month-02,Pranab Mukherjee,now that the recoveri has taken root there need review public spend mobili resourc and gear them toward build the product the economi,0.0,Neutral,Agriculture,develop
90,2010-2011 Month-02,Pranab Mukherjee,shape the polici for 201011 have act the recommend the thirteenth commiss,0.3612,Positive,Others,provid
91,2010-2011 Month-02,Pranab Mukherjee,has recommend calibr exit strategi from the expansionari stanc last two,0.3612,Positive,Others,scheme
92,2010-2011 Month-02,Pranab Mukherjee,the commiss has recommend cap the combin debt the centr and the state per the gdp achiev 201415,0.0,Neutral,Others,bank
94,2010-2011 Month-02,Pranab Mukherjee,part the consolid process would for the first time that the would target explicit reduct domest public debtgdp ratio,0.0,Neutral,Others,provid
95,2010-2011 Month-02,Pranab Mukherjee,intend bring out within six month status paper give detail analysi the situat and road map for curtail the over public debt,-0.3612,Negative,Others,provid
96,2010-2011 Month-02,Pranab Mukherjee,this would follow annual report the subject,0.0,Neutral,Others,provid
97,2010-2011 Month-02,Pranab Mukherjee,tax reform,0.0,Neutral,Others,scheme
98,2010-2011 Month-02,Pranab Mukherjee,happi inform the honour member that the process for build simpl tax system with minimum exempt and low design promot voluntari complianc now near complet,0.4588,Positive,Others,provid
99,2010-2011 Month-02,Pranab Mukherjee,the direct tax code the widerang discuss with stakehold have been conclud,0.0,Neutral,Others,servic
100,2010-2011 Month-02,Pranab Mukherjee,confid that the will posit implement the direct tax code from april 2011,0.0,Neutral,Others,agricultur
102,2010-2011 Month-02,Pranab Mukherjee,good and servic tax have been focus generat wide consensus design,0.4404,Positive,Others,provid
103,2010-2011 Month-02,Pranab Mukherjee,novemb 2009 the empow committ the state minist place the first discuss paper gst the public domain,0.0,Neutral,Others,agricultur
104,2010-2011 Month-02,Pranab Mukherjee,the thirteenth commiss has also made number signif recommend relat gst which will contribut the ongo discuss,0.4215,Positive,Others,growth
105,2010-2011 Month-02,Pranab Mukherjee,are activ engag with the empow committ finali the structur gst well the modal exp implement,0.2732,Positive,Others,agricultur
106,2010-2011 Month-02,Pranab Mukherjee,will earnest endeavour introduc gst along with the dtc april 2011,0.5106,Positive,Others,provid
107,2010-2011 Month-02,Pranab Mukherjee,peopl ownership psus,0.0,Neutral,Others,provid
108,2010-2011 Month-02,Pranab Mukherjee,while present the for 200910 invit peopl particip disinvest programm share the wealth and prosper the central public undertak,0.6597,Positive,Others,provid
110,2010-2011 Month-02,Pranab Mukherjee,sinc then ownership has been broad base oil limit nhpc ntpc and rural electrif corpor while the process for miner develop corpor and satluj jal vidyut nigam,0.0,Neutral,Others,tax
111,2010-2011 Month-02,Pranab Mukherjee,the will rai about rs25000 dure the current,0.0,Neutral,Others,invest
112,2010-2011 Month-02,Pranab Mukherjee,through this process rai higher amount dure the 201011,0.0,Neutral,Others,invest
113,2010-2011 Month-02,Pranab Mukherjee,the proceed will utili meet the capit expenditur requir social scheme for creat new asset,0.3612,Positive,Others,provid
115,2010-2011 Month-02,Pranab Mukherjee,list central public undertak improv corpor besid unlock the valu for all stakeholdersâth the compani and the sharehold,0.0,Neutral,Others,invest
116,2010-2011 Month-02,Pranab Mukherjee,market capit five compani which have been list sinc octob 2004 has increa time from the book valu rs78841 rs298929,0.0,Neutral,Others,invest
118,2010-2011 Month-02,Pranab Mukherjee,the effect manag public expenditur bring line with the object part the consolid process,0.0,Neutral,Others,custom
119,2010-2011 Month-02,Pranab Mukherjee,this call for proper target subsidi and expenditur adjust,0.0,Neutral,Others,growth
120,2010-2011 Month-02,Pranab Mukherjee,fertili subsidi,0.0,Neutral,Others,invest
121,2010-2011 Month-02,Pranab Mukherjee,had announc the intent the for the fertili speech 2009,0.0,Neutral,Others,develop
122,2010-2011 Month-02,Pranab Mukherjee,nutrient base subsidi polici for the fertili has sinc been approv the and will becom effect from april 2010,0.0,Neutral,Others,bank
123,2010-2011 Month-02,Pranab Mukherjee,this polici expect promot balanc fertil through new fortifi product and focus exten servic the fertili industri,0.0,Neutral,Agriculture,develop
124,2010-2011 Month-02,Pranab Mukherjee,this will lead increa agricultur product and consequ better return for the farmer,0.4404,Positive,Agriculture,growth
125,2010-2011 Month-02,Pranab Mukherjee,over time the polici expect reduc volatil the demand for fertili subsidi addit contain the subsidi bill,-0.128,Negative,Others,develop
126,2010-2011 Month-02,Pranab Mukherjee,will ensur that nutrient base fertili price for transit 201011 will remain around mrps current prevail,0.0,Neutral,Others,bank
127,2010-2011 Month-02,Pranab Mukherjee,the new system will move toward direct transfer subsidi the farmer,0.0,Neutral,Others,bank
128,2010-2011 Month-02,Pranab Mukherjee,petroleum and diesel price polici,0.0,Neutral,Others,bank
129,2010-2011 Month-02,Pranab Mukherjee,the last the constitut expert group advi the viabl and sustain system price petroleum product was announc,0.0,Neutral,Agriculture,bank
130,2010-2011 Month-02,Pranab Mukherjee,the group head shri kirit parikh has submit recommend the,0.3612,Positive,Agriculture,bank
131,2010-2011 Month-02,Pranab Mukherjee,deci these recommend will taken colleagu the minist petroleum natur gas due cour,0.3612,Positive,Others,bank
133,2010-2011 Month-02,Pranab Mukherjee,veri happi inform the honour member that have not adher the roadmap that had present part the document last but have improv upon,0.3291,Positive,Others,bank
134,2010-2011 Month-02,Pranab Mukherjee,except for meet the liabil the 200809 have not issu oil fertili bond,0.0,Neutral,Others,provid
135,2010-2011 Month-02,Pranab Mukherjee,shall come the number when refer the littl later,0.0772,Positive,Others,bank
136,2010-2011 Month-02,Pranab Mukherjee,improv invest environ foreign direct invest,0.0,Neutral,Others,bank
137,2010-2011 Month-02,Pranab Mukherjee,foreign direct invest fdi inflow dure the have been steadi spite the declin global capit flow,-0.5267,Negative,Others,bank
138,2010-2011 Month-02,Pranab Mukherjee,receiv fdi equiti inflow 209 billion dure aprildecemb 2009 compar 211 billion dure the same period last,0.0,Neutral,Others,bank
140,2010-2011 Month-02,Pranab Mukherjee,has taken number step simplifi the fdi regim make easili comprehen foreign investor,0.0772,Positive,Others,increa
141,2010-2011 Month-02,Pranab Mukherjee,for the first time both ownership and control have been recogni central the fdi polici and methodolog for calcul indirect foreign invest indian compani has been clear defin,0.3818,Positive,Others,invest
142,2010-2011 Month-02,Pranab Mukherjee,consist polici downstream invest has also been formul,0.0,Neutral,Others,invest
143,2010-2011 Month-02,Pranab Mukherjee,anoth major initi has been the complet liber price and payment technolog transfer fee trademark brand name and royalti payment,0.0,Neutral,Others,custom
144,2010-2011 Month-02,Pranab Mukherjee,these payment can now made under the automat rout,0.0,Neutral,Others,provid
146,2010-2011 Month-02,Pranab Mukherjee,also intend make the fdi polici userfriend consolid all prior regul and guidelin into one comprehen document,0.0,Neutral,Others,agricultur
147,2010-2011 Month-02,Pranab Mukherjee,this would enhanc clariti and predict our fdi polici foreign investor,0.0,Neutral,Others,agricultur
148,2010-2011 Month-02,Pranab Mukherjee,stabil and develop council,0.0,Neutral,Others,growth
149,2010-2011 Month-02,Pranab Mukherjee,the crisi 200809 has fundament chang the structur bank and market the world over,0.0,Neutral,Others,invest
150,2010-2011 Month-02,Pranab Mukherjee,with view strengthen and institutionali the mechan for maintain stabil has decid setup apexlevel stabil and develop council,0.3182,Positive,Others,growth
151,2010-2011 Month-02,Pranab Mukherjee,without prejud the autonomi regul this council would monitor macro prudenti supervi the economi includ the function larg conglom and address interregulatori coordin issu,0.0,Neutral,Others,invest
152,2010-2011 Month-02,Pranab Mukherjee,will also focus literaci and inclus,0.0,Neutral,Others,agricultur
153,2010-2011 Month-02,Pranab Mukherjee,bank licenc,0.0,Neutral,Others,agricultur
154,2010-2011 Month-02,Pranab Mukherjee,the indian bank system has emerg unscath from the crisi,0.0,Neutral,Others,agricultur
155,2010-2011 Month-02,Pranab Mukherjee,need ensur that the bank system grow size and sophist meet the need modern economi,0.0,Neutral,Agriculture,provid
156,2010-2011 Month-02,Pranab Mukherjee,besid there need extend the geograph coverag bank and improv access bank servic,0.1779,Positive,Others,provid
157,2010-2011 Month-02,Pranab Mukherjee,this context happi inform the honour member that the rbi consid give some addit bank licen privat player,0.5719,Positive,Others,provid
158,2010-2011 Month-02,Pranab Mukherjee,non bank compani could also consid they meet the rbis elig criteria,0.0,Neutral,Others,set
159,2010-2011 Month-02,Pranab Mukherjee,public bank capitali,0.0,Neutral,Others,provid
160,2010-2011 Month-02,Pranab Mukherjee,dure 200809 the infus rs1900 tieri capit four public bank maintain comfort level capit risk weight asset ratio,0.4404,Positive,Others,provid
161,2010-2011 Month-02,Pranab Mukherjee,addit rs1200 infus now,0.0,Neutral,Others,agricultur
162,2010-2011 Month-02,Pranab Mukherjee,for the 201011 provid rs16500 ensur that the public bank are abl attain minimum per tieri capit march 2011,0.0,Neutral,Others,provid
163,2010-2011 Month-02,Pranab Mukherjee,recapitali region rural bank,0.0,Neutral,Others,provid
164,2010-2011 Month-02,Pranab Mukherjee,region rural bank rrbs play import role provid credit rural economi,0.6124,Positive,Others,provid
165,2010-2011 Month-02,Pranab Mukherjee,the capit these bank share the central sponsor bank and state,0.296,Positive,Others,agricultur
166,2010-2011 Month-02,Pranab Mukherjee,the bank were last capitali 200607,0.0,Neutral,Others,bank
167,2010-2011 Month-02,Pranab Mukherjee,provid further capit strengthen the rrbs that they have adequ capit base support increa lend the rural economi,0.6124,Positive,Others,scheme
168,2010-2011 Month-02,Pranab Mukherjee,corpor,0.0,Neutral,Others,custom
169,2010-2011 Month-02,Pranab Mukherjee,improv corpor and regul import part the over invest environ the countri,0.0,Neutral,Others,agricultur
170,2010-2011 Month-02,Pranab Mukherjee,has introduc the compani bill 2009 the parliament which will replac the exist compani act 1956,0.0,Neutral,Others,bank
171,2010-2011 Month-02,Pranab Mukherjee,the new bill will address issu relat regul corpor the context the chang busi environ,0.0,Neutral,Others,provid
172,2010-2011 Month-02,Pranab Mukherjee,export,0.0,Neutral,Others,scheme
173,2010-2011 Month-02,Pranab Mukherjee,has provid interest subvent per preship export credit march 2010 for export certain,0.7717,Positive,Others,agricultur
174,2010-2011 Month-02,Pranab Mukherjee,extend the interest subvent per for one more for export cover handicraft carpet handloom and small and medium enterpri,0.5719,Positive,Others,agricultur
175,2010-2011 Month-02,Pranab Mukherjee,special econom zone sez,0.4019,Positive,Others,agricultur
176,2010-2011 Month-02,Pranab Mukherjee,the sez have attract signif flow domest and foreign invest,0.3612,Positive,Others,agricultur
177,2010-2011 Month-02,Pranab Mukherjee,first three quarter 200910 export from sez record growth 127 per over the correspond period last,0.3818,Positive,Agriculture,custom
178,2010-2011 Month-02,Pranab Mukherjee,commit ensur continu growth sez draw invest and boost export and employ,0.7579,Positive,Agriculture,develop
179,2010-2011 Month-02,Pranab Mukherjee,agricultur growth,0.3818,Positive,Agriculture,set
180,2010-2011 Month-02,Pranab Mukherjee,the agricultur occupi centrestag our resolv promot inclus growth enhanc rural incom and sustain food secur,0.3818,Positive,Agriculture,agricultur
181,2010-2011 Month-02,Pranab Mukherjee,spur the growth this the intend follow fourprong strategi cover agricultur product reduct wastag produc credit support farmer and thrust the food process,0.7845,Positive,Agriculture,invest
183,2010-2011 Month-02,Pranab Mukherjee,the first element the strategi extend the green revolut the eastern region the countri compri bihar chattisgarh jharkhand eastern west bengal and orissa with the activ involv gram sabha and the farm famili,0.1779,Positive,Others,develop
184,2010-2011 Month-02,Pranab Mukherjee,for the 201011 provid rs400 for this initi,0.0,Neutral,Others,develop
186,2010-2011 Month-02,Pranab Mukherjee,the 60th the republ organi 60000 pul and oil seed villag rainf area dure 201011 and provid integr interv for water harvest watersh manag and soil health enhanc the product the dri land farm area,0.0,Neutral,Agriculture,provid
187,2010-2011 Month-02,Pranab Mukherjee,provid rs300 for this purpo,0.0,Neutral,Others,bank
188,2010-2011 Month-02,Pranab Mukherjee,this initi will integr part the rashtriya krishi vika yojana,0.0,Neutral,Others,provid
190,2010-2011 Month-02,Pranab Mukherjee,the gain alreadi made the green revolut area have sustain through conserv farm which involv concurr attent soil health water conserv and preserv biodiv,0.5267,Positive,Others,provid
191,2010-2011 Month-02,Pranab Mukherjee,alloc rs200 for launch this climat resili agricultur initi,0.0,Neutral,Others,increa
193,2010-2011 Month-02,Pranab Mukherjee,the second element the strategi relat reduct signif wastag storag well the oper the exist food suppli chain the countri,0.2732,Positive,Others,invest
194,2010-2011 Month-02,Pranab Mukherjee,this need address,0.0,Neutral,Others,invest
195,2010-2011 Month-02,Pranab Mukherjee,the prime minist has said recent need greater competit and therefor need take firm view open the retail trade,0.3612,Positive,Others,invest
196,2010-2011 Month-02,Pranab Mukherjee,will help bring down the consid differ between the farm gate price whole price and retail price,0.4019,Positive,Others,growth
198,2010-2011 Month-02,Pranab Mukherjee,there wastag grain procur for buffer stock and public distribut system due acut shortag storag capac the food corpor,0.0,Neutral,Others,provid
199,2010-2011 Month-02,Pranab Mukherjee,this deficit the storag capac met through ongo scheme for privat particip where the fci has been hire godown from privat parti for guarant period,-0.4019,Negative,Others,scheme
200,2010-2011 Month-02,Pranab Mukherjee,this period now extend,0.1779,Positive,Others,provid
202,2010-2011 Month-02,Pranab Mukherjee,the third element the strategi relat improv the avail credit farmer,0.3818,Positive,Others,provid
203,2010-2011 Month-02,Pranab Mukherjee,happi inform the honour member that bank have been consist meet the target set for agricultur credit flow the past few,0.743,Positive,Others,growth
204,2010-2011 Month-02,Pranab Mukherjee,for the 201011 the target has been rai rs375000 from rs325000 the current,0.0,Neutral,Others,hous
206,2010-2011 Month-02,Pranab Mukherjee,the debt waiver and debt relief scheme for farmer was major initi the upa,-0.2263,Negative,Others,provid
207,2010-2011 Month-02,Pranab Mukherjee,view the recent drought some state and the sever flood some other part the countri extend six month the period for repay the loan amount farmer from decemb 2009 june 2010,0.1779,Positive,Others,provid
209,2010-2011 Month-02,Pranab Mukherjee,the last had provid addit one per interest subvent incent those farmer who repay their shortterm crop loan per schedul,0.4588,Positive,Others,set
210,2010-2011 Month-02,Pranab Mukherjee,rai this subvent for time repay crop loan from one per two per for 201011,0.0,Neutral,Others,growth
211,2010-2011 Month-02,Pranab Mukherjee,thus the effect interest for such farmer will now five per per annum,0.4588,Positive,Others,provid
212,2010-2011 Month-02,Pranab Mukherjee,necessari provi the has been made,0.0,Neutral,Others,set
214,2010-2011 Month-02,Pranab Mukherjee,the fourth element the strategi aim lend further impetus the develop food process provid stateofth art infrastructur,0.0,Neutral,Others,provid
215,2010-2011 Month-02,Pranab Mukherjee,addit the ten mega food park project alreadi set the has decid set five more such park,0.0,Neutral,Others,set
217,2010-2011 Month-02,Pranab Mukherjee,part the farm market initi extern commerci borrow will henceforth avail for cold storag cold room facil includ for farm level precool for preserv storag agricultur and alli produc marin product and meat,0.0,Neutral,Agriculture,increa
218,2010-2011 Month-02,Pranab Mukherjee,chang the definit infrastructur under the ecb polici are made,0.0,Neutral,Others,fund
219,2010-2011 Month-02,Pranab Mukherjee,infrastructur,0.0,Neutral,Others,provid
220,2010-2011 Month-02,Pranab Mukherjee,accel develop high qualiti physic infrastructur such road port airport and railway essenti sustain econom growth,0.3818,Positive,Agriculture,develop
221,2010-2011 Month-02,Pranab Mukherjee,while address the polici gap this maintain the thrust for upgrad infrastructur both rural and urban area,0.0,Neutral,Others,fund
222,2010-2011 Month-02,Pranab Mukherjee,the for 201011 have provid rs173552 which account for over per the total plan alloc for infrastructur develop the countri,0.0,Neutral,Others,fund
224,2010-2011 Month-02,Pranab Mukherjee,make visibl impact the road has target construct highway nhs the pace per day,0.0,Neutral,Others,growth
225,2010-2011 Month-02,Pranab Mukherjee,push the pace implement chang have been made the polici framework especi respect project execut through public privat partnership ppps,0.4767,Positive,Others,provid
226,2010-2011 Month-02,Pranab Mukherjee,for the 201011 rai the alloc road transport over per from rs17520 rs19894,0.0,Neutral,Others,custom
228,2010-2011 Month-02,Pranab Mukherjee,honour member have alreadi heard from the railway minist about the larg invest requir moderni and expand the network,0.7184,Positive,Others,provid
229,2010-2011 Month-02,Pranab Mukherjee,have provid rs16752 the for 201011 for railway lend her help hand,0.7096,Positive,Others,provid
230,2010-2011 Month-02,Pranab Mukherjee,this about rs950 more than last when substanti increa was made the budgetari support for railway,0.4019,Positive,Agriculture,provid
232,2010-2011 Month-02,Pranab Mukherjee,complement the dedic freight corridor the delhimumbai industri corridor project has been taken for integr region develop,0.0,Neutral,Others,scheme
233,2010-2011 Month-02,Pranab Mukherjee,preparatori activ have been complet for creation six industri invest node with ecofriend world class infrastructur,0.2732,Positive,Others,develop
234,2010-2011 Month-02,Pranab Mukherjee,infrastructur compani limit,0.0,Neutral,Others,fund
235,2010-2011 Month-02,Pranab Mukherjee,establish the infrastructur compani limit iifcl provid long term assist infrastructur project,0.0,Neutral,Others,develop
236,2010-2011 Month-02,Pranab Mukherjee,disbur are expect touch rs9000 end march 2010 and reach around rs20000 march 2011,0.0258,Neutral,Others,develop
237,2010-2011 Month-02,Pranab Mukherjee,iifcl has also been authori refin bank lend infrastructur project,0.0,Neutral,Others,provid
238,2010-2011 Month-02,Pranab Mukherjee,has refinanc rs3000 dure the current and expect more than doubl that amount 201011,0.0,Neutral,Others,provid
239,2010-2011 Month-02,Pranab Mukherjee,the takeout scheme announc the last expect initi provid for about rs25000 the next three,0.0,Neutral,Others,bank
240,2010-2011 Month-02,Pranab Mukherjee,energi,0.0,Neutral,Others,increa
241,2010-2011 Month-02,Pranab Mukherjee,accord the highest prioriti capac addit the power,0.0,Neutral,Others,develop
242,2010-2011 Month-02,Pranab Mukherjee,the framework for induct super critic technolog larg capac power plant thermal power corpor now place,0.4215,Positive,Others,develop
243,2010-2011 Month-02,Pranab Mukherjee,the mega power polici has been modifi and now consist with the electr polici 2005 and tariff polici 2006,0.0,Neutral,Others,provid
244,2010-2011 Month-02,Pranab Mukherjee,will help lower the cost generat and the cost power purcha distribut util,0.128,Positive,Others,provid
245,2010-2011 Month-02,Pranab Mukherjee,have more than doubl the plan alloc for power from rs2230 200910 rs5130 201011,0.0,Neutral,Others,provid
246,2010-2011 Month-02,Pranab Mukherjee,this doe not includ alloc for rggvi which part bharat nirman,0.0,Neutral,Others,provid
248,2010-2011 Month-02,Pranab Mukherjee,coal the mainstay energi and per the power generat current coal base,0.0,Neutral,Others,provid
249,2010-2011 Month-02,Pranab Mukherjee,introduc competit bid process for alloc coal block for captiv mine ensur greater transpar and increa particip product from these block,-0.5106,Negative,Agriculture,provid
